date,TGeBase [PLN/MWh]
1/1/2020,187.6350721
2/1/2020,172.1664738
3/1/2020,165.0676855
4/1/2020,150.1549434
5/1/2020,171.807482
6/1/2020,216.6468208
7/1/2020,220.590479
8/1/2020,
9/1/2020,
10/1/2020,
11/1/2020,
12/1/2020,
,
