69026;;;;;;;;;;;;;;;OFFPEAK;22.10.2019;OFFPEAK_W-46-19;W;19;;;46.0;2019-10-22/OFFPEAK_W-46-19
69027;;;;;;;;;;;;;;;OFFPEAK;22.10.2019;OFFPEAK_W-47-19;W;19;;;47.0;2019-10-22/OFFPEAK_W-47-19
69028;;;;;;;;;;;;;;;OFFPEAK;22.10.2019;OFFPEAK_W-48-19;W;19;;;48.0;2019-10-22/OFFPEAK_W-48-19
69029;;;;;;;;;;;;;;;OFFPEAK;22.10.2019;OFFPEAK_W-49-19;W;19;;;49.0;2019-10-22/OFFPEAK_W-49-19
69030;;219;;;;;;;;;870;2;870;2;OFFPEAK;22.10.2019;OFFPEAK_M-11-19;M;19;;11.0;;2019-10-22/OFFPEAK_M-11-19
69031;;203,5;;;;;;;;;2220;5;2220;5;OFFPEAK;22.10.2019;OFFPEAK_M-12-19;M;19;;12.0;;2019-10-22/OFFPEAK_M-12-19
69032;;;;;;;;;;;;;;;OFFPEAK;22.10.2019;OFFPEAK_M-01-20;M;20;;1.0;;2019-10-22/OFFPEAK_M-01-20
69033;;;;;;;;;;;;;;;OFFPEAK;22.10.2019;OFFPEAK_M-02-20;M;20;;2.0;;2019-10-22/OFFPEAK_M-02-20
69034;;;;;;;;;;;;;;;OFFPEAK;22.10.2019;OFFPEAK_M-03-20;M;20;;3.0;;2019-10-22/OFFPEAK_M-03-20
69035;;;;;;;;;;;;;;;OFFPEAK;22.10.2019;OFFPEAK_M-04-20;M;20;;4.0;;2019-10-22/OFFPEAK_M-04-20
69036;;;;;;;;;;;;;;;OFFPEAK;22.10.2019;OFFPEAK_M-05-20;M;20;;5.0;;2019-10-22/OFFPEAK_M-05-20
69037;;;;;;;;;;;;;;;OFFPEAK;22.10.2019;OFFPEAK_M-06-20;M;20;;6.0;;2019-10-22/OFFPEAK_M-06-20
69038;;;;;;;;;;;;;;;OFFPEAK;22.10.2019;OFFPEAK_M-07-20;M;20;;7.0;;2019-10-22/OFFPEAK_M-07-20
69039;;;;;;;;;;;;;;;OFFPEAK;22.10.2019;OFFPEAK_Q-1-20;Q;20;1.0;;;2019-10-22/OFFPEAK_Q-1-20
69040;;;;;;;;;;;;;;;OFFPEAK;22.10.2019;OFFPEAK_Q-2-20;Q;20;2.0;;;2019-10-22/OFFPEAK_Q-2-20
69041;;;;;;;;;;247,5;;;;;OFFPEAK;22.10.2019;OFFPEAK_Q-3-20;Q;20;3.0;;;2019-10-22/OFFPEAK_Q-3-20
69042;;;;;;;;;;;;;;;OFFPEAK;22.10.2019;OFFPEAK_Q-4-20;Q;20;4.0;;;2019-10-22/OFFPEAK_Q-4-20
69043;;;;;;;;;;;;;;;OFFPEAK;22.10.2019;OFFPEAK_Q-1-21;Q;21;1.0;;;2019-10-22/OFFPEAK_Q-1-21
69044;;;;;;;;;;;;;;;OFFPEAK;22.10.2019;OFFPEAK_Q-2-21;Q;21;2.0;;;2019-10-22/OFFPEAK_Q-2-21
69045;;230;;;;;;;;;19836;4;49590;10;OFFPEAK;22.10.2019;OFFPEAK_Y-20;Y;20;;;;2019-10-22/OFFPEAK_Y-20
69046;;234,5;;;;;;;;;9900;2;9900;2;OFFPEAK;22.10.2019;OFFPEAK_Y-21;Y;21;;;;2019-10-22/OFFPEAK_Y-21
69047;;;;;;;;;;;;;;;OFFPEAK;22.10.2019;OFFPEAK_Y-22;Y;22;;;;2019-10-22/OFFPEAK_Y-22
69048;221;221,49;220;223;3696;22;818462,4;11;223;221;2688;16;7896;47;BASE;23.10.2019;BASE_W-44-19;W;19;;;44.0;2019-10-23/BASE_W-44-19
69049;240;239,7;239;240,1;2520;15;603993,6;8;240,1;239,75;2520;15;5208;31;BASE;23.10.2019;BASE_W-45-19;W;19;;;45.0;2019-10-23/BASE_W-45-19
69050;;;;;;;;;222;233,5;;;;;BASE;23.10.2019;BASE_W-46-19;W;19;;;46.0;2019-10-23/BASE_W-46-19
69051;;;;;;;;;;;;;;;BASE;23.10.2019;BASE_W-47-19;W;19;;;47.0;2019-10-23/BASE_W-47-19
69052;;;;;;;;;;;;;;;BASE;23.10.2019;BASE_W-48-19;W;19;;;48.0;2019-10-23/BASE_W-48-19
69053;;;;;;;;;;;;;;;BASE;23.10.2019;BASE_W-49-19;W;19;;;49.0;2019-10-23/BASE_W-49-19
69054;239,75;238,23;238;239,75;47520;66;11346912;41;240;238;357840;497;627840;872;BASE;23.10.2019;BASE_M-11-19;M;19;;11.0;;2019-10-23/BASE_M-11-19
69055;229,5;229,36;229;229,55;25296;34;5803624,08;21;229,55;229,25;164424;221;361584;486;BASE;23.10.2019;BASE_M-12-19;M;19;;12.0;;2019-10-23/BASE_M-12-19
69056;;251,55;;;;;;;249,1;254;20088;27;23808;32;BASE;23.10.2019;BASE_M-01-20;M;20;;1.0;;2019-10-23/BASE_M-01-20
69057;;;;;;;;;250;255;;;;;BASE;23.10.2019;BASE_M-02-20;M;20;;2.0;;2019-10-23/BASE_M-02-20
69058;;;;;;;;;;260;;;;;BASE;23.10.2019;BASE_M-03-20;M;20;;3.0;;2019-10-23/BASE_M-03-20
